instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_hour,konsistensi,avg_casual_hourly,avg_registered_hourly,avg_humidity,avg_windspeed,avg_temp,avg_atemp
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,985,True,13.791666666666666,27.25,0.8058333333333333,0.16044583333333332,0.3441666666666667,0.36362500000000003
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,801,True,5.695652173913044,29.130434782608695,0.696086956521739,0.24853913043478262,0.3634782608695652,0.35373913043478256
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,1349,True,5.454545454545454,55.86363636363637,0.43727272727272726,0.2483090909090909,0.19636363636363638,0.18940454545454546
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,1562,True,4.695652173913044,63.21739130434783,0.5904347826086956,0.16029565217391303,0.19999999999999998,0.21212173913043478
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,1600,True,3.5652173913043477,66.0,0.43695652173913047,0.1869,0.22695652173913042,0.2292695652173913
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1606,True,3.8260869565217392,66.0,0.5182608695652174,0.08956521739130435,0.20434782608695654,0.23320869565217392
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,1510,True,6.434782608695652,59.21739130434783,0.498695652173913,0.16872608695652175,0.1965217391304348,0.2088391304347826
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,959,True,2.8333333333333335,37.125,0.5358333333333333,0.2668041666666667,0.165,0.16225416666666667
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,822,True,2.25,32.0,0.43416666666666665,0.36195,0.13833333333333334,0.11617499999999999
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,1321,True,1.7083333333333333,53.333333333333336,0.48291666666666666,0.2232666666666667,0.15083333333333335,0.1508875
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,1263,True,1.9545454545454546,55.45454545454545,0.6863636363636364,0.12213181818181819,0.1690909090909091,0.19146363636363636
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,1162,True,1.1363636363636365,51.68181818181818,0.5995454545454545,0.30462727272727275,0.17272727272727273,0.16047272727272727
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,1406,True,1.5833333333333333,57.0,0.47041666666666665,0.301,0.165,0.15088333333333334
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,1421,True,2.347826086956522,59.43478260869565,0.5378260869565217,0.12654782608695653,0.16086956521739132,0.18841304347826088
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,1248,True,9.25,42.75,0.49875,0.1579625,0.2333333333333333,0.24811249999999999
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,1204,True,10.458333333333334,39.708333333333336,0.48374999999999996,0.18843333333333334,0.2316666666666667,0.23421666666666666
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,1000,True,4.875,36.791666666666664,0.5375,0.19401666666666664,0.1758333333333333,0.17677083333333332
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,683,True,0.75,56.166666666666664,0.8616666666666667,0.14677500000000002,0.21666666666666667,0.2323333333333333
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,1650,True,3.391304347826087,68.34782608695652,0.7417391304347826,0.20831739130434782,0.29217391304347823,0.2984217391304348
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,1927,True,3.4583333333333335,76.83333333333333,0.5383333333333333,0.19590416666666666,0.26166666666666666,0.25505
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,1543,True,3.125,61.166666666666664,0.45708333333333334,0.3532416666666667,0.1775,0.15783333333333333
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,981,True,4.043478260869565,38.608695652173914,0.39999999999999997,0.1719695652173913,0.0591304347826087,0.07906956521739131
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,986,True,6.521739130434782,36.34782608695652,0.43652173913043474,0.2466,0.0965217391304348,0.09883913043478261
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,1416,True,3.739130434782609,57.82608695652174,0.4917391304347826,0.1583304347826087,0.0973913043478261,0.11793043478260869
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,1985,True,8.08695652173913,78.21739130434783,0.6169565217391304,0.12979565217391303,0.2234782608695652,0.23452608695652175
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,506,True,2.125,29.5,0.8625,0.29385,0.2175,0.2036
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,431,True,1.875,52.0,0.6875,0.11383750000000001,0.195,0.2197
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,1167,True,1.6521739130434783,49.08695652173913,0.7930434782608696,0.1233,0.2034782608695652,0.22331739130434783
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,1098,True,5.3478260869565215,42.391304347826086,0.6517391304347826,0.14536521739130434,0.19652173913043477,0.21212608695652174
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,1096,True,6.086956521739131,41.56521739130435,0.7221739130434782,0.07398260869565218,0.2165217391304348,0.25032173913043476
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,1501,True,1.75,60.791666666666664,0.60375,0.18719166666666667,0.18083333333333332,0.18625
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,1360,True,2.0434782608695654,57.08695652173913,0.8295652173913044,0.05321304347826087,0.19217391304347825,0.23453043478260868
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,1526,True,3.0,60.583333333333336,0.7754166666666666,0.2643083333333333,0.26,0.2544166666666667
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,1550,True,2.652173913043478,64.73913043478261,0.43782608695652175,0.27775217391304347,0.18695652173913044,0.1778782608695652
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,1708,True,3.8260869565217392,70.43478260869566,0.5852173913043479,0.12783913043478262,0.21130434782608698,0.22858695652173913
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,1005,True,4.166666666666667,37.708333333333336,0.9291666666666667,0.16107916666666666,0.2333333333333333,0.24305833333333335
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,1623,True,14.75,52.875,0.5683333333333334,0.1418,0.28583333333333333,0.2916708333333333
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,1712,True,5.0,66.33333333333333,0.7383333333333333,0.045408333333333335,0.27166666666666667,0.3036583333333333
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,1530,True,2.6666666666666665,61.083333333333336,0.5379166666666667,0.36195,0.22083333333333333,0.19824583333333334
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,1605,True,2.3043478260869565,67.47826086956522,0.4947826086956522,0.18883913043478262,0.13478260869565217,0.14428260869565215
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,1538,True,2.0434782608695654,64.82608695652173,0.4373913043478261,0.22193478260869565,0.14434782608695654,0.14954782608695652
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,1746,True,6.7727272727272725,72.5909090909091,0.5063636363636363,0.10855000000000001,0.1890909090909091,0.2135090909090909
